
Ukrivljeni lok – Članice
5,Boštjančič Robi,014 - LK Gorica,500/15,498/11,,,504/11,494/15,517/12,2513/64
6,Mlinar Patrik,011 - LK Šenčur,439/11,,,442/12,455/10,427/8,451/10,2214/51
7,Gostiša Urban,073 - TKD Sovica,,506/15,534/15,,,487/12,,1527/42
8,Gnidovec Jaka,005 - LK Kamnik,,555/20,556/20,,,,,1111/40
9,Lenček Gaber,005 - LK Kamnik,,450/6,457/7,,,472/10,491/11,1870/34
10,Šuštarič Dan,066 - LK Paradoks,,504/12,462/8,,,,,966/20
11,Žeželj Jernej,073 - TKD Sovica,,476/8,,,,463/9,,939/17
12,Dolgan Liam,067 - LK Budanje,369/10,434/5,,,,,,803/15
13,Naglič Maks,077 - LK Ljubljana,,,478/10,,,,,478/10
14,Kavčič Jernej,007 - LK Ankaran,,479/9,,,,,,479/9

Ukrivljeni lok – Mlajše od 21 let
Mesto,Tekmovalec,Klub,Ajdovščina<br>16.11.2025,Postojna<br>6.12.2025,Kamnik<br>14.12.2025,Lendava<br>20.12.2025,Ilirska Bistrica<br>10.1.2026,Rakek<br>25.1.2026,Šenčur<br>7.2.2026,Skupaj
1,Kardinar Tinkara,007 - LK Ankaran,548/25,555/25,555/25,,548/25,555/25,,2761/125
2,Mahnič Zarja,007 - LK Ankaran,535/20,531/15,529/12,,526/15,553/20,545/20,3219/102
3,Vuilova Kristina,063 - LK DLL Potens,504/12,541/20,539/20,,512/12,533/12,542/15,3171/91
4,Filipič Lučka,002 - LK Maribor,,,,567/25,544/20,542/15,568/25,2221/85
5,Colnarič Anamarija,028 - GLK Tržič,409/*10,513/12,525/11,470/20,497/11,493/10,521/11,3019/75
6,Zabret Verbole Pia,005 - LK Kamnik,508/15,487/11,480/10,,434/10,,529/12,2438/58
7,Blažič Lea,014 - LK Gorica,499/11,477/10,458/9,,,506/11,498/10,2438/51
8,Filipič Urška,002 - LK Maribor,,,,417/15,,416/9,,833/24
9,Dolničar Eva,005 - LK Kamnik,,380/9,421/8,,,,,801/17
10,Obljubek Metka,067 - LK Budanje,,,536/15,,,,,536/15
11,Drešar Anja,007 - LK Ankaran,,,,,,,421/9,421/9
12,Grudnik Meta,008 - LK Gornji Grad,,,,,,415/8,,415/8

Ukrivljeni lok – Mlajši od 21 let
Mesto,Tekmovalec,Klub,Ajdovščina<br>16.11.2025,Postojna<br>6.12.2025,Kamnik<br>14.12.2025,Lendava<br>20.12.2025,Ilirska Bistrica<br>10.1.2026,Rakek<br>25.1.2026,Šenčur<br>7.2.2026,Skupaj
1,Kleh Planko Tit,075 - Društvo Šentlok,557/20,563/20,561/15,,568/25,578/25,572/20,3399/125
2,Frank Gal,053 - ŠD VLR Vilijem,,570/25,571/25,,564/20,570/20,579/25,2854/115
3,Škerlavaj Luka,080 - LK Apolon,507/9,473/10,,468/20,474/10,469/10,532/11,2923/70
4,Peric Pšeničnik Liam,014 - LK Gorica,524/11,512/11,,,529/11,530/12,550/12,2645/57
5,Katarinčič Svit,007 - LK Ankaran,516/10,537/12,,,546/12,562/15,,2161/49
6,Bizjak Matevž,067 - LK Budanje,552/15,552/15,,,558/15,,,1662/45
7,Šimec Urban,005 - LK Kamnik,558/25,,,,,,,558/25
8,Bratkovič Odar Aljaž,068 - LK Lendava,,,,505/25,,,,505/25
9,Zavasnik Oskar,005 - LK Kamnik,,,571/20,,,,,571/20
10,Brezovnik Maj,002 - LK Maribor,,,,,,,553/15,553/15
11,Tortič Žan,053 - ŠD VLR Vilijem,550/12,,,,,,,550/12
12,Onassis Niki,048 - LS Ljutomer,,,,,,518/11,,518/11

Ukrivljeni lok – Starejši od 50 let
Mesto,Tekmovalec,Klub,Ajdovščina<br>16.11.2025,Postojna<br>6.12.2025,Kamnik<br>14.12.2025,Lendava<br>20.12.2025,Ilirska Bistrica<br>10.1.2026,Rakek<br>25.1.2026,Šenčur<br>7.2.2026,Skupaj
1,Štampek Božidar,046 - LK Dolenjske Toplice,535/*20,536/25,552/25,534/25,540/25,546/25,534/25,3242/150
2,Bešter Tomaž,028 - GLK Tržič,535/25,531/20,549/20,529/20,534/20,511/*15,515/20,3193/125
3,Miklavčič Moreno,006 - LK MINS Postojna,492/12,,509/15,487/12,500/12,526/20,500/15,3014/86
4,Vardič Branko,066 - LK Paradoks,,479/11,481/12,494/15,510/15,,476/11,2440/64
5,Turk Simon,046 - LK Dolenjske Toplice,465/11,421/10,428/11,460/10,448/*8,472/10,430/9,2676/61
6,Vidič Gregor,014 - LK Gorica,497/15,499/15,,,497/11,,,1493/41
7,Jevšenak Tomaž,011 - LK Šenčur,396/9,392/9,,,392/6,423/7,397/8,2000/39
8,Znidarčič Dejan,014 - LK Gorica,462/10,,,,491/10,485/11,,1438/31
9,Kuster Benjamin,002 - LK Maribor,,481/12,,477/11,433/7,,,1391/30
10,Natlačen Stanislav,006 - LK MINS Postojna,,,,,469/9,434/9,449/10,1352/28
11,Valjan Borislav,052 - DLLL Snežniška Diana,,,,,,490/12,478/12,968/24
12,Filipič Igor,002 - LK Maribor,,,,,,431/8,,431/8

Sestavljeni lok – Članice
Mesto,Tekmovalec,Klub,Ajdovščina<br>16.11.2025,Postojna<br>6.12.2025,Kamnik<br>14.12.2025,Lendava<br>20.12.2025,Ilirska Bistrica<br>10.1.2026,Rakek<br>25.1.2026,Šenčur<br>7.2.2026,Skupaj
1,Križe Barbra Pia,046 - LK Dolenjske Toplice,569/25,559/25,564/25,,573/25,562/25,556/20,3383/145
2,Rejec Meta,074 - DL Eisnern,,556/20,554/20,,,,549/12,1659/52
3,Petrovčič Martina,053 - ŠD VLR Vilijem,,,,,,551/20,563/25,1114/45
4,Slana Teja,005 - LK Kamnik,,551/15,554/15,,,,,1105/30
5,Dornik Urša,002 - LK Maribor,,,,,,549/15,553/15,1102/30
6,Smajič Sara,011 - LK Šenčur,534/20,,,,,,,534/20
7,Braakman Dominique Tereza,052 - DLLL Snežniška Diana,297/15,,,,,,,297/15

Sestavljeni lok – Člani
Mesto,Tekmovalec,Klub,Ajdovščina<br>16.11.2025,Postojna<br>6.12.2025,Kamnik<br>14.12.2025,Lendava<br>20.12.2025,Ilirska Bistrica<br>10.1.2026,Rakek<br>25.1.2026,Šenčur<br>7.2.2026,Skupaj
1,Brenk Aljaž Matija,052 - DLLL Snežniška Diana,,592/20,591/25,588/25,592/25,585/25,591/20,3539/140
2,Jevšnik Tim,008 - LK Gornji Grad,597/25,594/25,590/20,,591/20,,596/25,2968/115
3,Primožič Gogala Viktor,007 - LK Ankaran,577/15,574/11,573/9,,577/12,,571/10,2872/57
4,Taškar Matej,022 - LK Ilirska Bistrica,555/10,564/9,564/7,,560/10,562/12,570/8,3375/56
5,Hebar Luka,006 - LK MINS Postojna,578/20,580/12,579/11,,,,577/11,2314/54
6,Zagorec Robert,046 - LK Dolenjske Toplice,,557/7,559/6,,564/11,563/15,571/9,2814/48
7,Modic Staš,011 - LK Šenčur,,588/15,588/15,,588/15,,,1764/45
8,Lah Roy,076 - LK Hmeljček,539/8,550/5,551/4,544/11,,538/8,553/5,3275/41
9,Luršak Uroš,001 - LK Muta,566/12,,,564/15,,558/10,,1688/37
10,Zorjan Matjaž,001 - LK Muta,,565/10,,569/20,,,,1134/30
11,Luršak Boštjan,001 - LK Muta,549/9,,,550/12,,535/7,,1634/28
12,Rožič Matija,005 - LK Kamnik,,,582/12,,,,586/15,1168/27
13,Rebernik Jon,001 - LK Muta,,,,,,566/20,557/6,1123/26
14,Rožič Miha,005 - LK Kamnik,,,575/10,,,,579/12,1154/22
15,Sitar Dejan,011 - LK Šenčur,,551/6,557/5,,,,561/7,1669/18
16,Arnež Luka,005 - LK Kamnik,,560/8,566/8,,,,,1126/16
17,Petrovčič Jan,053 - ŠD VLR Vilijem,,,,,,559/11,549/4,1108/15
18,Urbiha Nejc,052 - DLLL Snežniška Diana,534/7,,,,,529/6,,1063/13
19,Pavlič Denis,005 - LK Kamnik,565/11,,,,,,,565/11
20,Damiš Aleks,022 - LK Ilirska Bistrica,,,,,544/9,,,544/9
21,Frank Janez,053 - ŠD VLR Vilijem,,,,,,538/9,,538/9
22,Čretnik Urban,049 - DL Dravograd,,,,,536/8,,,536/8
23,Zalar Toni,073 - TKD Sovica,,,,,,525/5,,525/5
24,Rebernik Dušan,001 - LK Muta,,,,,,,539/3,539/3
25,Mekina Primož,073 - TKD Sovica,,,,,,,473/2,473/2

Sestavljeni lok – Mlajši od 13 let
Mesto,Tekmovalec,Klub,Ajdovščina<br>16.11.2025,Postojna<br>6.12.2025,Kamnik<br>14.12.2025,Lendava<br>20.12.2025,Ilirska Bistrica<br>10.1.2026,Rakek<br>25.1.2026,Šenčur<br>7.2.2026,Skupaj
1,Komaricki Nal,068 - LK Lendava,528/25,523/20,524/25,539/25,512/25,542/25,,3168/145
2,Zorjan Žiga,001 - LK Muta,,524/25,522/20,517/20,,497/20,,2060/85
3,Urbiha Tim,052 - DLLL Snežniška Diana,455/20,,,,,481/15,,936/35
4,Ravser Patrik,001 - LK Muta,,,,511/15,,,,511/15

Sestavljeni lok – Mlajše od 15 let
Mesto,Tekmovalec,Klub,Ajdovščina<br>16.11.2025,Postojna<br>6.12.2025,Kamnik<br>14.12.2025,Lendava<br>20.12.2025,Ilirska Bistrica<br>10.1.2026,Rakek<br>25.1.2026,Šenčur<br>7.2.2026,Skupaj
1,Zalar Beti,073 - TKD Sovica,434/25,504/25,,,420/20,197/25,513/25,2068/120
2,Šmit Nina,046 - LK Dolenjske Toplice,,,,,459/25,,,459/25

Sestavljeni lok – Mlajši od 15 let
Mesto,Tekmovalec,Klub,Ajdovščina<br>16.11.2025,Postojna<br>6.12.2025,Kamnik<br>14.12.2025,Lendava<br>20.12.2025,Ilirska Bistrica<br>10.1.2026,Rakek<br>25.1.2026,Šenčur<br>7.2.2026,Skupaj
1,Vidmar Jakob,074 - DL Eisnern,545/25,535/20,523/25,,,,545/25,2148/95
2,Paušer Skok Maks,080 - LK Apolon,,535/25,522/20,,,,,1057/45
3,Meden Gašper,073 - TKD Sovica,,,,,,441/25,436/20,877/45
4,Aljančič Ožbej,028 - GLK Tržič,,,,,351/25,354/20,,705/45

Sestavljeni lok – Mlajše od 18 let
Mesto,Tekmovalec,Klub,Ajdovščina<br>16.11.2025,Postojna<br>6.12.2025,Kamnik<br>14.12.2025,Lendava<br>20.12.2025,Ilirska Bistrica<br>10.1.2026,Rakek<br>25.1.2026,Šenčur<br>7.2.2026,Skupaj
1,Frank Živa,053 - ŠD VLR Vilijem,489/25,431/25,541/25,,515/25,542/25,544/25,3062/150
2,Šmit Alenka,046 - LK Dolenjske Toplice,,,486/15,,473/20,,,959/35
3,Hrovat Lamovšek Tinka,046 - LK Dolenjske Toplice,,,494/20,,,,,494/20
4,Šmit Neža,046 - LK Dolenjske Toplice,,,,,462/15,,,462/15

Sestavljeni lok – Mlajši od 18 let
Mesto,Tekmovalec,Klub,Ajdovščina<br>16.11.2025,Postojna<br>6.12.2025,Kamnik<br>14.12.2025,Lendava<br>20.12.2025,Ilirska Bistrica<br>10.1.2026,Rakek<br>25.1.2026,Šenčur<br>7.2.2026,Skupaj
1,Pungartnik Anže,052 - DLLL Snežniška Diana,573/20,574/25,554/25,558/25,565/20,558/*20,572/25,3396/140
